cc_num,gender,city,state,zip,lat,long,city_pop,job,category,amt,is_fraud,merchant,merch_lat,merch_long,trans_datetime,age
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,91.88,0,Bins-Rice,38.67235,-77.723682,2019-01-01 00:49:12,18
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",gas_transport,70.14,0,Emard Inc,37.631462,-81.818259,2019-01-01 01:57:08,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",gas_transport,74.63,0,"Raynor, Reinger and Hagenes",36.927971,-81.083718,2019-01-01 05:34:32,34
180004794719900,M,Providence,NC,27315,36.4873,-79.4041,2243,Community development worker,gas_transport,75.03,0,Prohaska-Murray,36.293213,-78.412656,2019-01-01 05:45:59,39
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,81.48,0,Cummerata-Jones,37.054908,-76.450762,2019-01-01 07:10:03,18
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",gas_transport,102.3,0,Bartoletti-Wunsch,37.558317,-80.893897,2019-01-01 09:28:55,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",grocery_pos,317.22,1,Kiehn-Emmerich,37.121547,-80.63809,2019-01-02 03:14:29,34
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,68.5,0,Friesen-D'Amore,37.109248,-76.987173,2019-01-02 03:36:00,18
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",grocery_pos,285.46,1,Murray-Smitham,38.203877,-80.939686,2019-01-02 03:53:53,34
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,87.37,0,"Schaefer, McGlynn and Bosco",36.501074,-112.897859,2019-01-02 08:42:50,35
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",misc_net,319.46,1,"Rippin, Kub and Mann",37.168564,-81.071201,2019-01-02 22:38:49,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",grocery_pos,958.08,1,Cole PLC,37.206698,-81.932151,2019-01-02 23:21:29,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",misc_net,996.63,1,"Kerluke, Kertzmann and Wiza",38.090026,-80.796117,2019-01-02 23:24:03,34
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,71.8,0,"Kutch, Hermiston and Farrell",38.206688,-76.184518,2019-01-03 00:44:25,18
180004794719900,M,Providence,NC,27315,36.4873,-79.4041,2243,Community development worker,gas_transport,96.68,0,"Schaefer, McGlynn and Bosco",37.471633,-79.911937,2019-01-03 01:28:04,39
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,83.01,0,"Olson, Becker and Koch",37.916109,-76.238606,2019-01-03 02:40:12,18
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,138.22,0,"Raynor, Feest and Miller",37.495524,-111.684004,2019-01-03 07:41:46,35
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,33.29,0,"Olson, Becker and Koch",37.232366,-76.152003,2019-01-03 08:58:30,18
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",personal_care,7.78,1,Reichel LLC,36.965882,-81.099058,2019-01-03 12:00:07,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",misc_net,1141.78,1,Koelpin and Sons,37.55886,-81.529376,2019-01-03 18:39:51,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",shopping_net,724.01,1,Kassulke PLC,38.197737,-80.890275,2019-01-03 22:25:07,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",misc_pos,750.11,1,Gutmann-Upton,37.205523,-82.143621,2019-01-03 22:28:13,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",shopping_net,831.06,1,Auer-West,37.467287,-81.951022,2019-01-03 22:51:11,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",shopping_net,18.56,1,"Heathcote, Yost and Kertzmann",38.450446,-81.476144,2019-01-03 22:56:22,34
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,89.89,0,Parisian and Sons,37.129489,-112.640716,2019-01-04 05:13:51,35
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,95.75,0,"Schaefer, McGlynn and Bosco",37.393634,-113.483734,2019-01-04 08:40:13,35
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,91.13,0,Sporer Inc,37.515233,-77.18743,2019-01-04 11:03:55,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,119.95,0,"Kutch, Hermiston and Farrell",37.814297,-76.810404,2019-01-04 11:06:29,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,43.29,0,"Reilly, Heaney and Cole",38.692149,-77.796388,2019-01-04 11:42:05,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,104.54,0,"Olson, Becker and Koch",37.815731,-76.941063,2019-01-05 00:51:21,18
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,121.78,0,"Jenkins, Hauck and Friesen",36.552103,-112.70977,2019-01-05 03:50:59,35
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,131.3,0,Torp-Labadie,36.094818,-112.912628,2019-01-05 04:26:28,35
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,93.75,0,Friesen-D'Amore,38.632462,-76.50411,2019-01-05 04:39:58,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,89.37,0,Parisian and Sons,37.349534,-76.969175,2019-01-05 05:58:09,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,86.27,0,Marks Inc,37.690484,-77.380133,2019-01-05 06:56:28,18
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",gas_transport,109.06,0,Prohaska-Murray,38.486047,-80.984523,2019-01-05 09:22:49,34
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,88.68,0,Berge LLC,38.071605,-77.872621,2019-01-05 10:02:17,18
180004794719900,M,Providence,NC,27315,36.4873,-79.4041,2243,Community development worker,gas_transport,94.26,0,Harber Inc,37.146386,-78.914608,2019-01-05 10:59:14,39
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",gas_transport,36.3,0,Harris Inc,38.030602,-81.329642,2019-01-06 00:44:04,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",gas_transport,49.49,0,Marks Inc,36.949132,-81.191145,2019-01-06 01:04:06,34
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,110.21,0,"Greenholt, Jacobi and Gleason",38.321569,-76.33593,2019-01-06 03:50:55,18
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,114.9,0,"Raynor, Feest and Miller",37.625743,-112.601165,2019-01-06 06:33:05,35
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,109.87,0,Prohaska-Murray,37.858508,-77.147439,2019-01-06 06:57:36,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,89.05,0,Emard Inc,37.4577,-77.313986,2019-01-06 07:38:44,18
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,68.07,0,Parisian and Sons,37.119009,-111.694822,2019-01-06 09:46:36,35
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,59.04,0,"Stroman, Hudson and Erdman",37.364801,-77.034004,2019-01-06 10:50:40,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,95.77,0,Bins-Rice,37.754059,-77.080804,2019-01-07 09:34:30,18
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",gas_transport,106.73,0,Rodriguez Group,36.932182,-80.319354,2019-01-08 05:17:08,34
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,39.05,0,"Raynor, Feest and Miller",38.652019,-77.559316,2019-01-08 05:23:52,18
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",gas_transport,100.71,0,"Tillman, Dickinson and Labadie",38.267465,-81.974047,2019-01-08 05:37:48,34
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",gas_transport,68.14,0,"Eichmann, Bogan and Rodriguez",37.066147,-81.690006,2019-01-08 07:21:19,34
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,98.0,0,Luettgen PLC,37.178016,-77.069967,2019-01-08 10:40:54,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,124.75,0,"Reilly, Heaney and Cole",38.568072,-77.203714,2019-01-09 03:09:11,18
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,98.03,0,"Lind, Huel and McClure",36.989918,-112.965912,2019-01-09 04:20:51,35
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,151.27,0,Mraz-Herzog,37.032563,-111.5485,2019-01-09 07:54:24,35
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,102.71,0,Bins-Rice,38.731133,-78.006269,2019-01-09 08:47:50,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,94.94,0,Koss and Sons,38.364365,-77.132667,2019-01-09 09:57:43,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,92.44,0,Sporer Inc,38.827299,-76.664988,2019-01-10 03:50:14,18
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,36.57,0,"Greenholt, Jacobi and Gleason",36.53718,-112.671277,2019-01-10 04:27:06,35
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,70.32,0,Harris Inc,36.157716,-113.154369,2019-01-10 06:22:55,35
348148374755807,M,Beeson,WV,24714,37.4909,-81.2062,257,"Production designer, theatre/television/film",gas_transport,156.94,0,Sporer Inc,38.213152,-81.533751,2019-01-10 08:34:33,34
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,37.8,0,"Raynor, Reinger and Hagenes",37.368157,-112.299268,2019-01-10 09:14:03,35
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,44.32,0,Mraz-Herzog,37.448279,-78.015589,2019-01-10 10:28:45,18
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,36.02,0,Cummings LLC,38.266943,-77.943761,2019-01-10 10:57:12,18
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,99.32,0,Kuvalis Ltd,36.443817,-111.606761,2019-01-11 00:57:20,35
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,97.87,0,Parisian and Sons,37.441243,-76.782849,2019-01-11 01:53:27,18
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,100.2,0,Ledner-Pfannerstill,37.852444,-112.636055,2019-01-11 03:07:38,35
4093339637902038878,M,Saint Stephens Church,VA,23148,37.8479,-77.055,1827,"Scientist, product/process development",gas_transport,94.49,0,"Christiansen, Goyette and Schamberger",38.420486,-77.657606,2019-01-11 05:11:25,18
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,39.45,0,Berge LLC,36.287574,-113.150801,2019-01-11 05:15:35,35
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,83.49,0,Kling Inc,36.441898,-112.516832,2019-01-11 06:38:21,35
3520949076341539,M,Fredonia,AZ,86022,36.9044,-112.4979,2210,Holiday representative,gas_transport,40.35,0,Schmitt Inc,36.94295,-113.119403,2019-01-11 08:38:11,35
