cc_num,gender,city,state,zip,lat,long,city_pop,job,category,amt,is_fraud,merchant,merch_lat,merch_long,trans_datetime,age
4670417103898,F,Fairton,NJ,8320,39.3799,-75.2217,1256,General practice doctor,gas_transport,86.09,0,"Schaefer, McGlynn and Bosco",39.06065,-74.603745,2019-01-01 03:05:25,62
4670417103898,F,Fairton,NJ,8320,39.3799,-75.2217,1256,General practice doctor,gas_transport,2.1,0,Ledner-Pfannerstill,39.827185,-74.242551,2019-01-01 08:11:47,62
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,37.58,0,"Schaefer, Maggio and Daugherty",38.649516,-85.175235,2019-01-02 04:11:17,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,9.77,0,Cummerata-Jones,38.330607,-85.021328,2019-01-02 08:18:22,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,48.15,0,"Greenholt, Jacobi and Gleason",38.175364,-84.80375,2019-01-03 02:24:23,83
4670417103898,F,Fairton,NJ,8320,39.3799,-75.2217,1256,General practice doctor,gas_transport,2.09,0,Kutch LLC,39.860293,-74.987934,2019-01-03 03:16:13,62
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,88.96,0,"Eichmann, Bogan and Rodriguez",39.410646,-84.619797,2019-01-03 04:03:33,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,4.53,0,Corwin-Collins,38.587642,-85.16688,2019-01-03 08:04:56,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,138.32,0,"Greenholt, Jacobi and Gleason",39.664855,-84.840049,2019-01-03 09:22:19,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,5.89,0,Mraz-Herzog,38.14978,-85.38239,2019-01-03 09:40:47,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,5.25,0,Rodriguez Group,38.414081,-84.573611,2019-01-03 10:17:04,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,94.08,0,"Reilly, Heaney and Cole",38.428223,-84.855552,2019-01-04 06:55:15,83
4670417103898,F,Fairton,NJ,8320,39.3799,-75.2217,1256,General practice doctor,gas_transport,54.46,0,Luettgen PLC,39.10942,-74.991502,2019-01-04 09:09:40,62
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,5.1,0,"Connelly, Reichert and Fritsch",38.469409,-84.320744,2019-01-05 03:05:29,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,61.23,0,Rodriguez Group,38.675799,-84.97858,2019-01-05 06:16:42,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,62.16,0,Parisian and Sons,39.519012,-85.716793,2019-01-05 07:41:09,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,6.77,0,"Christiansen, Goyette and Schamberger",38.40048,-85.302836,2019-01-05 11:43:55,83
4670417103898,F,Fairton,NJ,8320,39.3799,-75.2217,1256,General practice doctor,gas_transport,21.19,0,Heller-Langosh,39.685945,-76.09262,2019-01-06 04:56:54,62
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,7.2,0,Torp-Labadie,38.770888,-85.280085,2019-01-06 06:17:40,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,72.13,0,Huels-Nolan,39.554016,-85.038105,2019-01-07 00:47:40,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,263.21,0,Bartoletti-Wunsch,37.926749,-84.227175,2019-01-07 01:01:28,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,50.41,0,"Kutch, Hermiston and Farrell",38.536255,-85.447713,2019-01-08 01:38:07,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,4.39,0,Emard Inc,38.598212,-85.779356,2019-01-08 11:09:37,83
4670417103898,F,Fairton,NJ,8320,39.3799,-75.2217,1256,General practice doctor,gas_transport,99.76,0,"Connelly, Reichert and Fritsch",38.56805,-75.025748,2019-01-09 01:11:00,62
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,75.04,0,"Lind, Huel and McClure",39.206857,-84.059311,2019-01-09 05:29:43,83
4429518525576886,F,Patriot,IN,47038,38.8537,-84.8515,1504,Professor Emeritus,gas_transport,7.26,0,Parisian and Sons,39.273593,-83.980983,2019-01-10 03:04:14,83
