cc_num,gender,city,state,zip,lat,long,city_pop,job,category,amt,is_fraud,merchant,merch_lat,merch_long,trans_datetime,age
2331599965047738,F,Ashton,MD,20861,39.151,-76.9924,1875,Neurosurgeon,gas_transport,76.49,0,"Lind, Huel and McClure",40.138571,-77.284546,2019-01-01 01:03:49,37
4438983640376137917,F,Quentin,PA,17083,40.2764,-76.4112,109,Broadcast journalist,gas_transport,6.96,0,"Stroman, Hudson and Erdman",39.631906,-76.851074,2019-01-01 01:15:25,41
2331599965047738,F,Ashton,MD,20861,39.151,-76.9924,1875,Neurosurgeon,gas_transport,80.91,0,"Raynor, Feest and Miller",39.719848,-77.528245,2019-01-01 01:19:08,37
213160930685388,F,Bloomingrose,WV,25024,38.1412,-81.6367,586,Midwife,gas_transport,98.28,0,Bernhard Inc,38.637231,-81.161895,2019-01-01 01:21:43,30
4438983640376137917,F,Quentin,PA,17083,40.2764,-76.4112,109,Broadcast journalist,gas_transport,50.02,0,Bernhard Inc,39.621815,-77.149117,2019-01-01 03:01:13,41
2331599965047738,F,Ashton,MD,20861,39.151,-76.9924,1875,Neurosurgeon,gas_transport,58.62,0,Erdman-Kertzmann,38.586085,-77.327207,2019-01-01 04:38:14,37
5386008921963944,F,Midland,MD,21542,39.5951,-78.9431,483,Public affairs consultant,gas_transport,80.27,0,Rodriguez Group,40.023853,-78.431606,2019-01-01 04:41:10,20
213160930685388,F,Bloomingrose,WV,25024,38.1412,-81.6367,586,Midwife,gas_transport,35.28,0,"Kutch, Hermiston and Farrell",38.22861,-81.349369,2019-01-01 05:03:33,30
213160930685388,F,Bloomingrose,WV,25024,38.1412,-81.6367,586,Midwife,gas_transport,52.31,0,"Stroman, Hudson and Erdman",37.206512,-81.056741,2019-01-01 06:40:47,30
4438983640376137917,F,Quentin,PA,17083,40.2764,-76.4112,109,Broadcast journalist,gas_transport,99.31,0,Bins-Rice,39.772014,-76.129025,2019-01-01 08:10:19,41
213160930685388,F,Bloomingrose,WV,25024,38.1412,-81.6367,586,Midwife,gas_transport,48.47,0,Bernhard Inc,38.781253,-81.17833,2019-01-01 08:18:43,30
4438983640376137917,F,Quentin,PA,17083,40.2764,-76.4112,109,Broadcast journalist,gas_transport,63.69,0,Friesen-D'Amore,39.384302,-75.411274,2019-01-01 09:55:36,41
213160930685388,F,Bloomingrose,WV,25024,38.1412,-81.6367,586,Midwife,gas_transport,63.7,0,Luettgen PLC,37.913026,-81.265238,2019-01-02 01:22:14,30
5386008921963944,F,Midland,MD,21542,39.5951,-78.9431,483,Public affairs consultant,gas_transport,65.3,0,"Jenkins, Hauck and Friesen",39.646043,-79.39709,2019-01-02 06:31:41,20
4438983640376137917,F,Quentin,PA,17083,40.2764,-76.4112,109,Broadcast journalist,gas_transport,96.94,0,Brekke and Sons,41.128129,-75.986221,2019-01-02 07:36:59,41
5386008921963944,F,Midland,MD,21542,39.5951,-78.9431,483,Public affairs consultant,gas_transport,91.01,0,Kuvalis Ltd,38.617043,-79.729447,2019-01-02 08:49:44,20
213160930685388,F,Bloomingrose,WV,25024,38.1412,-81.6367,586,Midwife,gas_transport,112.48,0,"Robel, Cummerata and Prosacco",38.480951,-82.609188,2019-01-02 09:43:21,30
213160930685388,F,Bloomingrose,WV,25024,38.1412,-81.6367,586,Midwife,gas_transport,3.89,0,Bins-Rice,38.341254,-81.059421,2019-01-02 09:55:11,30
2331599965047738,F,Ashton,MD,20861,39.151,-76.9924,1875,Neurosurgeon,gas_transport,79.55,0,"Schaefer, McGlynn and Bosco",38.807276,-77.685556,2019-01-02 11:34:17,37
5386008921963944,F,Midland,MD,21542,39.5951,-78.9431,483,Public affairs consultant,gas_transport,52.87,0,"Streich, Hansen and Veum",40.251862,-79.067149,2019-01-03 00:06:12,20
4438983640376137917,F,Quentin,PA,17083,40.2764,-76.4112,109,Broadcast journalist,gas_transport,8.27,0,Huels-Hahn,40.542937,-76.424303,2019-01-03 00:30:49,41
213160930685388,F,Bloomingrose,WV,25024,38.1412,-81.6367,586,Midwife,gas_transport,98.02,0,Luettgen PLC,37.989281,-82.575516,2019-01-03 01:46:59,30
4438983640376137917,F,Quentin,PA,17083,40.2764,-76.4112,109,Broadcast journalist,gas_transport,87.44,0,"Stroman, Hudson and Erdman",40.432682,-77.017922,2019-01-03 02:57:47,41
5386008921963944,F,Midland,MD,21542,39.5951,-78.9431,483,Public affairs consultant,gas_transport,40.42,0,"Greenholt, Jacobi and Gleason",39.848945,-78.872311,2019-01-03 03:09:41,20
2331599965047738,F,Ashton,MD,20861,39.151,-76.9924,1875,Neurosurgeon,gas_transport,49.04,0,Conroy-Cruickshank,39.284202,-76.117036,2019-01-03 04:37:37,37
5386008921963944,F,Midland,MD,21542,39.5951,-78.9431,483,Public affairs consultant,gas_transport,47.2,0,Friesen-Stamm,39.909635,-79.487034,2019-01-03 04:56:25,20
2331599965047738,F,Ashton,MD,20861,39.151,-76.9924,1875,Neurosurgeon,gas_transport,54.14,0,"Jenkins, Hauck and Friesen",39.831145,-77.347029,2019-01-03 08:35:45,37
213160930685388,F,Bloomingrose,WV,25024,38.1412,-81.6367,586,Midwife,gas_transport,62.2,0,Torp-Labadie,38.939659,-81.974049,2019-01-03 09:30:57,30
4438983640376137917,F,Quentin,PA,17083,40.2764,-76.4112,109,Broadcast journalist,gas_transport,92.36,0,Mraz-Herzog,40.052682,-75.784427,2019-01-03 09:59:00,41
