cc_num,gender,city,state,zip,lat,long,city_pop,job,category,amt,is_fraud,merchant,merch_lat,merch_long,trans_datetime,age
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,132.86,0,"Schaefer, Maggio and Daugherty",42.639596,-72.524416,2019-01-01 04:23:34,34
4964010146019331,M,Foster,OR,97345,44.3836,-122.5449,574,Ergonomist,gas_transport,113.17,0,"Reilly, Heaney and Cole",44.674645,-122.026921,2019-01-02 01:10:46,26
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,103.36,0,Bartoletti-Wunsch,42.4882,-71.405479,2019-01-02 07:06:56,34
4964010146019331,M,Foster,OR,97345,44.3836,-122.5449,574,Ergonomist,gas_transport,39.94,0,"Lind, Huel and McClure",44.844239,-123.028663,2019-01-02 09:08:41,26
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,77.16,0,"Lind, Huel and McClure",43.232317,-70.977249,2019-01-02 09:50:54,34
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,96.09,0,Kuvalis Ltd,42.468737,-71.713057,2019-01-02 10:58:23,34
4964010146019331,M,Foster,OR,97345,44.3836,-122.5449,574,Ergonomist,gas_transport,92.52,0,Erdman-Kertzmann,44.691882,-122.769964,2019-01-03 02:44:44,26
4964010146019331,M,Foster,OR,97345,44.3836,-122.5449,574,Ergonomist,gas_transport,146.45,0,"Kutch, Hermiston and Farrell",44.503387,-122.110688,2019-01-03 06:52:06,26
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,105.7,0,Friesen-Stamm,43.148893,-71.122941,2019-01-04 03:04:56,34
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,45.36,0,Kuvalis Ltd,42.51769,-71.275789,2019-01-04 04:23:10,34
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,103.69,0,Mraz-Herzog,43.040667,-72.051775,2019-01-05 03:32:41,34
4964010146019331,M,Foster,OR,97345,44.3836,-122.5449,574,Ergonomist,gas_transport,109.9,0,Friesen-D'Amore,44.022317,-123.012608,2019-01-05 08:44:36,27
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,80.25,0,Prohaska-Murray,42.857507,-71.729559,2019-01-05 09:12:41,34
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,32.54,0,"Zieme, Bode and Dooley",42.732914,-72.278435,2019-01-06 10:48:42,34
4964010146019331,M,Foster,OR,97345,44.3836,-122.5449,574,Ergonomist,gas_transport,131.65,0,Erdman-Kertzmann,44.565322,-121.80973,2019-01-07 01:44:59,27
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,96.63,0,"Schaefer, McGlynn and Bosco",43.516072,-72.611749,2019-01-07 04:00:30,34
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,29.6,0,"Raynor, Feest and Miller",43.778568,-71.467806,2019-01-08 06:55:50,34
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,73.85,0,"Raynor, Feest and Miller",43.658162,-71.293386,2019-01-08 10:24:03,34
4964010146019331,M,Foster,OR,97345,44.3836,-122.5449,574,Ergonomist,gas_transport,90.93,0,Kling Inc,44.979301,-122.783692,2019-01-09 00:06:46,27
4964010146019331,M,Foster,OR,97345,44.3836,-122.5449,574,Ergonomist,gas_transport,144.99,0,Emard Inc,44.691944,-121.567306,2019-01-09 01:34:10,27
213186161877642,M,Greenfield,NH,3047,42.9493,-71.8728,1767,Broadcast engineer,gas_transport,93.49,0,"Streich, Hansen and Veum",43.488383,-71.914603,2019-01-09 05:18:54,34
