cc_num,gender,city,state,zip,lat,long,city_pop,job,category,amt,is_fraud,merchant,merch_lat,merch_long,trans_datetime,age
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,40.77,0,"Greenholt, Jacobi and Gleason",42.49092,-120.358325,2019-01-02 02:50:22,16
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,50.61,0,Kuvalis Ltd,43.791043,-88.478273,2019-01-02 06:05:52,14
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,79.85,0,Huels-Nolan,41.56239,-118.90973,2019-01-02 07:30:13,16
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,55.24,0,"Raynor, Reinger and Hagenes",42.480189,-120.783193,2019-01-02 07:46:29,16
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,40.22,0,"Olson, Becker and Koch",41.903034,-120.268491,2019-01-03 01:21:52,16
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,59.13,0,Friesen-D'Amore,42.488767,-119.172764,2019-01-03 06:23:01,16
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,50.04,0,Cummings LLC,43.717278,-87.13736,2019-01-03 11:18:42,14
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,68.38,0,Luettgen PLC,43.146743,-88.528858,2019-01-04 00:21:43,14
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,53.69,0,Berge LLC,42.415078,-119.043874,2019-01-04 01:28:38,16
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,65.57,0,"Reilly, Heaney and Cole",44.065592,-88.668122,2019-01-04 04:12:22,14
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,45.94,0,Huels-Hahn,43.018371,-119.103439,2019-01-04 05:54:30,16
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,47.61,0,Erdman-Kertzmann,43.998243,-88.307412,2019-01-04 08:39:35,14
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,46.62,0,"Zieme, Bode and Dooley",42.19444,-120.134969,2019-01-04 08:58:01,16
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,73.58,0,Emard Inc,43.490223,-120.379904,2019-01-04 09:12:44,16
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,68.31,0,"Eichmann, Bogan and Rodriguez",42.755514,-88.079471,2019-01-04 09:12:45,14
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,59.35,0,"Raynor, Feest and Miller",44.654022,-87.394253,2019-01-04 10:14:15,14
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,57.22,0,Bins-Rice,43.350613,-87.230458,2019-01-04 11:56:11,14
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,42.28,0,"Schaefer, McGlynn and Bosco",42.22068,-119.468867,2019-01-05 00:48:32,16
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,65.51,0,"Zieme, Bode and Dooley",41.570447,-120.153183,2019-01-05 00:52:09,16
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,40.15,0,"Stroman, Hudson and Erdman",42.874848,-88.415533,2019-01-05 01:01:02,14
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,31.42,0,Torp-Labadie,42.31019,-119.010769,2019-01-05 01:48:40,16
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,92.12,0,"Connelly, Reichert and Fritsch",42.875792,-87.240636,2019-01-05 01:55:07,14
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,20.57,0,"Robel, Cummerata and Prosacco",42.734924,-118.991086,2019-01-05 03:28:09,16
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,26.02,0,Huels-Hahn,43.116715,-88.59853,2019-01-05 04:51:48,14
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,40.24,0,"Streich, Hansen and Veum",42.151525,-120.075557,2019-01-05 06:21:17,16
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,43.06,0,Harber Inc,44.660056,-88.001068,2019-01-05 08:11:05,14
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,58.57,0,Bartoletti-Wunsch,43.019418,-88.164702,2019-01-06 00:41:15,14
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,37.68,0,Luettgen PLC,42.686906,-120.127445,2019-01-06 01:12:50,16
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,50.43,0,"Schaefer, McGlynn and Bosco",43.173722,-119.286054,2019-01-06 02:30:47,16
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,38.1,0,"Jenkins, Hauck and Friesen",41.971513,-119.80683,2019-01-06 02:47:59,16
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,67.64,0,"Schaefer, McGlynn and Bosco",43.09087,-86.971491,2019-01-06 03:52:43,14
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,33.24,0,Berge LLC,44.638435,-87.739477,2019-01-06 04:50:04,14
675961222832,M,Kohler,WI,53044,43.7381,-87.7867,2297,"Librarian, public",gas_transport,60.38,0,Corwin-Collins,44.005949,-88.729367,2019-01-06 05:58:27,14
4189959311699211,M,Plush,OR,97637,42.5035,-119.8947,76,Accounting technician,gas_transport,9.65,0,Bartoletti-Wunsch,43.045682,-119.635345,2019-01-06 11:44:06,16
