ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
627-10-5988|4701411158162316|Heather|Lynch|F|115 Hutchinson Lodge|Andale|KS|67001|37.7797|-97.6366|1676|Leisure centre manager|1967-11-28|631527921260|adults_50up_female_rural.json|7e9dca0dbc8e3ea2d38270d2a3dbf3ef|2019-02-13|02:06:03|1550048763|grocery_pos|340.18|1|fraud_Kovacek, Dibbert and Ondricka|37.218928|-97.842132
627-10-5988|4701411158162316|Heather|Lynch|F|115 Hutchinson Lodge|Andale|KS|67001|37.7797|-97.6366|1676|Leisure centre manager|1967-11-28|631527921260|adults_50up_female_rural.json|9d9c33908fadc16cd9647af83d554f68|2019-02-14|22:25:47|1550208347|shopping_net|741.85|1|fraud_Mosciski, Ziemann and Farrell|37.545909|-96.912044
627-10-5988|4701411158162316|Heather|Lynch|F|115 Hutchinson Lodge|Andale|KS|67001|37.7797|-97.6366|1676|Leisure centre manager|1967-11-28|631527921260|adults_50up_female_rural.json|1fb7aa69fe95f0f6796c19457f565b91|2019-02-14|22:36:24|1550208984|misc_net|945.33|1|fraud_Johnson, Runolfsdottir and Mayer|38.287468|-98.184580
627-10-5988|4701411158162316|Heather|Lynch|F|115 Hutchinson Lodge|Andale|KS|67001|37.7797|-97.6366|1676|Leisure centre manager|1967-11-28|631527921260|adults_50up_female_rural.json|b9e700b1af94750bc23e8775c388e002|2019-02-14|22:52:24|1550209944|shopping_net|962.20|1|fraud_Terry-Huel|38.091842|-96.887781
627-10-5988|4701411158162316|Heather|Lynch|F|115 Hutchinson Lodge|Andale|KS|67001|37.7797|-97.6366|1676|Leisure centre manager|1967-11-28|631527921260|adults_50up_female_rural.json|193ecbe51de883f37350930d321b38d5|2019-02-14|22:13:59|1550207639|shopping_net|1033.30|1|fraud_Goyette Inc|37.283158|-97.452550
627-10-5988|4701411158162316|Heather|Lynch|F|115 Hutchinson Lodge|Andale|KS|67001|37.7797|-97.6366|1676|Leisure centre manager|1967-11-28|631527921260|adults_50up_female_rural.json|a83fadf1925bc6dce3be19eebf0ce29b|2019-02-14|20:28:50|1550201330|shopping_net|980.27|1|fraud_Kassulke PLC|37.289821|-96.853072
627-10-5988|4701411158162316|Heather|Lynch|F|115 Hutchinson Lodge|Andale|KS|67001|37.7797|-97.6366|1676|Leisure centre manager|1967-11-28|631527921260|adults_50up_female_rural.json|ac39e0af8264267c8d8fe2ea829337ab|2019-02-14|23:51:58|1550213518|shopping_net|927.46|1|fraud_Fisher-Schowalter|37.611241|-97.210174
627-10-5988|4701411158162316|Heather|Lynch|F|115 Hutchinson Lodge|Andale|KS|67001|37.7797|-97.6366|1676|Leisure centre manager|1967-11-28|631527921260|adults_50up_female_rural.json|eb00f62cd5272b7defd26030483a4d52|2019-02-14|23:56:01|1550213761|entertainment|893.85|1|fraud_Fadel, Mertz and Rippin|37.409751|-97.302427
627-10-5988|4701411158162316|Heather|Lynch|F|115 Hutchinson Lodge|Andale|KS|67001|37.7797|-97.6366|1676|Leisure centre manager|1967-11-28|631527921260|adults_50up_female_rural.json|53d22e7318c3b77c8a68691549acb6c0|2019-02-14|22:30:12|1550208612|shopping_net|593.55|1|fraud_Altenwerth, Cartwright and Koss|38.623293|-98.129324
627-10-5988|4701411158162316|Heather|Lynch|F|115 Hutchinson Lodge|Andale|KS|67001|37.7797|-97.6366|1676|Leisure centre manager|1967-11-28|631527921260|adults_50up_female_rural.json|7db20e68a95c463a2d8742170b77e345|2019-12-13|04:23:16|1576236196|shopping_pos|81.59|0|fraud_Daugherty, Pouros and Beahan|37.010888|-97.394240
