ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
378-19-5166|3580656259045996|Andrew|Hunt|M|1122 Alexandra Station|Stilesville|IN|46180|39.6391|-86.6182|1028|Farm manager|1955-06-01|829323221273|adults_50up_male_rural.json|7d9bef5142bff655667b81c089a6a4ad|2020-09-04|09:33:38|1599233618|gas_transport|17.13|1|fraud_Huels-Hahn|39.242419|-86.804496
378-19-5166|3580656259045996|Andrew|Hunt|M|1122 Alexandra Station|Stilesville|IN|46180|39.6391|-86.6182|1028|Farm manager|1955-06-01|829323221273|adults_50up_male_rural.json|e314cafcf4463d5a49ca670d368585df|2020-09-04|02:26:34|1599207994|grocery_pos|316.27|1|fraud_Lockman, West and Runte|39.428526|-85.630383
378-19-5166|3580656259045996|Andrew|Hunt|M|1122 Alexandra Station|Stilesville|IN|46180|39.6391|-86.6182|1028|Farm manager|1955-06-01|829323221273|adults_50up_male_rural.json|da129a860db13050a88eba285d6541eb|2020-09-04|00:25:46|1599200746|grocery_pos|299.80|1|fraud_Deckow-O'Conner|39.328757|-87.077597
378-19-5166|3580656259045996|Andrew|Hunt|M|1122 Alexandra Station|Stilesville|IN|46180|39.6391|-86.6182|1028|Farm manager|1955-06-01|829323221273|adults_50up_male_rural.json|f4532d32e30e3e8c5ca5c63a223d8d78|2020-09-04|08:51:20|1599231080|grocery_pos|315.03|1|fraud_Hackett-Lueilwitz|39.193186|-86.747926
378-19-5166|3580656259045996|Andrew|Hunt|M|1122 Alexandra Station|Stilesville|IN|46180|39.6391|-86.6182|1028|Farm manager|1955-06-01|829323221273|adults_50up_male_rural.json|65a947bc641378fcb1cd0ef18267aba1|2020-09-04|01:47:54|1599205674|grocery_pos|329.45|1|fraud_Koepp-Parker|39.406471|-86.969122
378-19-5166|3580656259045996|Andrew|Hunt|M|1122 Alexandra Station|Stilesville|IN|46180|39.6391|-86.6182|1028|Farm manager|1955-06-01|829323221273|adults_50up_male_rural.json|bacfd42fd77437b56b6e610b6acbfefd|2020-09-04|03:43:22|1599212602|grocery_pos|351.56|1|fraud_Pacocha-O'Reilly|40.242759|-87.583747
378-19-5166|3580656259045996|Andrew|Hunt|M|1122 Alexandra Station|Stilesville|IN|46180|39.6391|-86.6182|1028|Farm manager|1955-06-01|829323221273|adults_50up_male_rural.json|54d35a3653de00b092f60e598f0e0568|2020-09-04|01:28:14|1599204494|grocery_pos|317.24|1|fraud_Bradtke PLC|39.204954|-87.012209
378-19-5166|3580656259045996|Andrew|Hunt|M|1122 Alexandra Station|Stilesville|IN|46180|39.6391|-86.6182|1028|Farm manager|1955-06-01|829323221273|adults_50up_male_rural.json|27887d71a8d8da217fd324b0faa73648|2020-09-04|04:41:28|1599216088|grocery_pos|310.16|1|fraud_Vandervort-Funk|40.514446|-87.330979
378-19-5166|3580656259045996|Andrew|Hunt|M|1122 Alexandra Station|Stilesville|IN|46180|39.6391|-86.6182|1028|Farm manager|1955-06-01|829323221273|adults_50up_male_rural.json|d503590b22cd3d18f3c0d37be0a246d2|2020-09-05|14:39:32|1599338372|misc_net|289.89|1|fraud_Block-Parisian|38.948502|-87.442359
378-19-5166|3580656259045996|Andrew|Hunt|M|1122 Alexandra Station|Stilesville|IN|46180|39.6391|-86.6182|1028|Farm manager|1955-06-01|829323221273|adults_50up_male_rural.json|24ad88477cc6af6d497a60a3bb87e16a|2020-09-05|22:09:06|1599365346|shopping_pos|805.47|1|fraud_Macejkovic-Lesch|38.930655|-87.083833
