ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
026-95-4507|4218196001337|Jonathan|Johnson|M|863 Lawrence Valleys|Saint Paul|MN|55110|45.08|-93.0223|753116|Accounting technician|1966-09-06|888022315787|adults_50up_male_urban.json
433-44-4553|4511615594078163|Angela|Carter|F|310 Kendra Common Apt. 164|Marietta|GA|30064|33.9343|-84.6076|302309|Professor Emeritus|1980-03-01|917558277935|adults_2550_female_urban.json
380-46-3433|4192832764835035|Samantha|Trujillo|F|1395 Diana Locks Suite 242|Elmira|NY|14903|42.1198|-76.8877|49642|Fine artist|1966-07-08|617380026649|adults_50up_female_urban.json
765-75-7020|3553287101226916|James|Carlson|M|480 Erin Plain Suite 514|Las Vegas|NV|89141|36.0104|-115.2073|1417793|Presenter, broadcasting|1949-01-23|498895488714|adults_50up_male_urban.json
740-93-4316|213181489325283|Troy|Nielsen|M|570 Sarah Wells|San Francisco|CA|94109|37.7917|-122.4186|805301|Information systems manager|1993-01-31|61157982007|adults_2550_male_urban.json
581-11-1404|3518227824896383|Pedro|Vaughn|M|5787 John Circles Suite 098|Rogers|AR|72756|36.3363|-94.1148|71942|Event organiser|1971-04-14|243045499634|adults_50up_male_urban.json
725-81-0965|4051834738295|Kenneth|Sanchez|M|3116 Henderson Mountain Apt. 106|Redding|CT|06896|41.2711|-73.3863|9110|Librarian, academic|1952-03-09|948331323761|adults_50up_male_urban.json
197-25-8787|30262473178101|Marissa|Fernandez|F|32677 Michelle Circle|Chicago|IL|60653|41.8196|-87.6126|2680484|Development worker, international aid|1982-11-07|1627677155|adults_2550_female_urban.json
272-59-4674|6523430980500973|Kathryn|Farrell|F|81219 Emma Freeway|Belle Fourche|SD|57717|44.6723|-103.8396|8007|Operations geologist|1994-09-15|626594012825|adults_2550_female_urban.json
609-06-1344|6543534624751078|Marc|Hart|M|83842 Ibarra Gardens|Granite Bay|CA|95746|38.7435|-121.1897|21460|Merchant navy officer|1956-06-04|173022703378|adults_50up_male_urban.json
557-91-4957|3584124118244934|Michelle|Harris|F|740 Cynthia Village Suite 005|Orange|CA|92865|33.8263|-117.8511|141692|Conservator, furniture|2003-06-07|177218748445|young_adults_female_urban.json
565-91-7008|213111280598267|Cameron|Parker|M|3315 Dickson Summit|Pasadena|MD|21122|39.1206|-76.495|60576|Designer, fashion/clothing|1963-05-04|950204551500|adults_50up_male_urban.json
820-23-6756|503856342160|Shelby|Garrison|F|75433 Donna Locks|Clementon|NJ|08021|39.8036|-75.0058|44833|Land/geomatics surveyor|1979-03-28|950384363434|adults_2550_female_urban.json
792-36-5754|4850142940196556|Jessica|Joyce|F|9340 Smith Valley|Crestview|FL|32536|30.7644|-86.5917|44788|Solicitor|1989-10-23|793224011429|adults_2550_female_urban.json
755-86-3229|371595148465644|Kristen|Lee|F|299 Sullivan Village Apt. 443|Lewisburg|OH|45338|39.8534|-84.5368|5298|Planning and development surveyor|2001-07-13|639029968283|young_adults_female_urban.json
330-60-7239|30387214895133|Megan|Walker|F|00379 Stanley Roads|Ankeny|IA|50023|41.7194|-93.6266|49581|Teaching laboratory technician|1955-10-30|786814108140|adults_50up_female_urban.json
507-52-3998|4163287083172781|William|Larson|M|868 Merritt Summit Suite 743|Ringgold|GA|30736|34.9205|-85.1549|41029|Health and safety inspector|1984-03-03|857987636625|adults_2550_male_urban.json
642-31-4500|30143455812232|Janet|Hernandez|F|66587 Brown Village|Mountain View|HI|96771|19.5506|-155.0864|8339|Petroleum engineer|1984-08-07|993810235531|adults_2550_female_urban.json
713-03-9433|6505466889373460|John|Price|M|272 Rebecca Ramp Apt. 162|Birmingham|AL|35215|33.6493|-86.7057|493806|Psychologist, clinical|1967-01-31|52320127777|adults_50up_male_urban.json
