ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
630-11-7351|5250805491477442|John|Duran|M|2478 Rodriguez Turnpike|Clarksboro|NJ|08020|39.7992|-75.2237|2201|Psychologist, clinical|2004-10-06|391353479328|young_adults_male_rural.json|7a9a08f750813a67266eaa9c8647e936|2020-08-18|02:33:16|1597739596|gas_transport|7.99|1|fraud_Bins-Rice|40.510677|-75.046447
630-11-7351|5250805491477442|John|Duran|M|2478 Rodriguez Turnpike|Clarksboro|NJ|08020|39.7992|-75.2237|2201|Psychologist, clinical|2004-10-06|391353479328|young_adults_male_rural.json|98cc4cbf5825351e1c6ed832d409deb7|2020-08-18|02:19:23|1597738763|grocery_pos|12.86|1|fraud_Moen, Reinger and Murphy|40.616903|-74.461986
630-11-7351|5250805491477442|John|Duran|M|2478 Rodriguez Turnpike|Clarksboro|NJ|08020|39.7992|-75.2237|2201|Psychologist, clinical|2004-10-06|391353479328|young_adults_male_rural.json|7467288d27d18286615c1151add9dd41|2020-08-18|02:18:36|1597738716|grocery_pos|382.80|1|fraud_Barton Inc|39.426069|-74.880085
630-11-7351|5250805491477442|John|Duran|M|2478 Rodriguez Turnpike|Clarksboro|NJ|08020|39.7992|-75.2237|2201|Psychologist, clinical|2004-10-06|391353479328|young_adults_male_rural.json|36810c45f195bea146224dfd6b631753|2020-08-18|00:18:33|1597731513|grocery_pos|256.21|1|fraud_Lockman, West and Runte|39.572402|-75.410363
630-11-7351|5250805491477442|John|Duran|M|2478 Rodriguez Turnpike|Clarksboro|NJ|08020|39.7992|-75.2237|2201|Psychologist, clinical|2004-10-06|391353479328|young_adults_male_rural.json|7478ff7bb3a9514635ac5dcfc4d0a609|2020-08-18|00:12:07|1597731127|grocery_pos|275.12|1|fraud_Goodwin-Nitzsche|40.530153|-76.212088
630-11-7351|5250805491477442|John|Duran|M|2478 Rodriguez Turnpike|Clarksboro|NJ|08020|39.7992|-75.2237|2201|Psychologist, clinical|2004-10-06|391353479328|young_adults_male_rural.json|1c53b5ed30e526db705511ee77600873|2020-08-18|03:18:48|1597742328|grocery_pos|299.94|1|fraud_Hudson-Ratke|40.511568|-75.857161
630-11-7351|5250805491477442|John|Duran|M|2478 Rodriguez Turnpike|Clarksboro|NJ|08020|39.7992|-75.2237|2201|Psychologist, clinical|2004-10-06|391353479328|young_adults_male_rural.json|11be5fade0b3755849d881b0ee11b9cb|2020-08-18|01:55:04|1597737304|grocery_pos|307.16|1|fraud_Osinski, Ledner and Leuschke|40.184627|-76.195974
630-11-7351|5250805491477442|John|Duran|M|2478 Rodriguez Turnpike|Clarksboro|NJ|08020|39.7992|-75.2237|2201|Psychologist, clinical|2004-10-06|391353479328|young_adults_male_rural.json|45acc0ce2f3c39c9bc8d83d5bd1b7c27|2020-08-18|04:16:09|1597745769|grocery_net|309.01|1|fraud_Cummings Group|39.157007|-76.025083
630-11-7351|5250805491477442|John|Duran|M|2478 Rodriguez Turnpike|Clarksboro|NJ|08020|39.7992|-75.2237|2201|Psychologist, clinical|2004-10-06|391353479328|young_adults_male_rural.json|c2d7baed3cbfa3cd8921af0ab58861a7|2020-08-18|22:28:15|1597811295|misc_net|561.27|1|fraud_Jones, Sawayn and Romaguera|39.567273|-74.362412
630-11-7351|5250805491477442|John|Duran|M|2478 Rodriguez Turnpike|Clarksboro|NJ|08020|39.7992|-75.2237|2201|Psychologist, clinical|2004-10-06|391353479328|young_adults_male_rural.json|73261c72a276e7c0f6ebef37368ded2a|2020-08-18|23:46:39|1597815999|misc_net|633.61|1|fraud_Rodriguez, Yost and Jenkins|40.319706|-75.890426
